CustomerID,FullName,DOB,Gender,Region,Email,Status,JoinDate
1,Norma Fisher,28/02/1977,Female,Florida,thull@yahoo.com,Active,03/08/2023
2,Susan Wagner,21/09/1978,Female,California,montgomeryjohn@mcgrath.com,Inactive,19/05/2021
3,Stephanie Sutton,03/09/1991,Female,California,ryan93@woods.net,Inactive,29/08/2020
4,Ryan Page,04/01/2005,Male,Alaska,vclayton@cross.com,Inactive,02/03/2022
5,Daniel Pratt,28/03/1969,Male,Colorado,millerluke@hotmail.com,Suspended,14/09/2024
6,Kristen Mann,17/10/1996,Female,Alaska,tamaramorrison@hotmail.com,Inactive,27/12/2022
7,Kyle Cruz,18/09/1998,Male,Colorado,ivan20@zavala.com,Suspended,24/10/2021
8,Sarah Villanueva,30/04/1996,Female,California,aimee33@hotmail.com,Suspended,10/02/2024
9,Jerry Keller,12/03/2007,Male,Kansas,nguyendarrell@hotmail.com,Inactive,24/05/2023
10,Dana Dennis,07/07/1967,Female,New Mexico,laura56@garcia.com,Suspended,04/12/2020
11,Madison Zuniga,09/07/2000,Female,California,martinezjacob@wilson.com,Suspended,07/11/2020
12,Chloe Arellano,22/12/1967,Female, Massachusetts,jessicabrown@hotmail.com,Suspended,25/09/2020
13,Marc Huff,21/04/1964,Male,Colorado,lucasmichael@brown.com,Suspended,26/05/2021
14,Jeanne Green,17/07/1991,Female, Massachusetts,tammybrown@moore.com,Suspended,21/04/2024
15,Alexis Maldonado,09/04/1998,Female,Kansas,paul42@hotmail.com,Active,24/08/2020
16,Angela Stevenson,01/08/1996,Female,Colorado,johnbenton@yahoo.com,Active,28/12/2022
17,Kevin Mcclain,21/10/2001,Male,New Mexico,paul61@wheeler.com,Active,26/11/2021
18,Marcia Gray,23/05/2005,Female,Colorado,moralesjacqueline@yahoo.com,Active,09/12/2020
19,Amy Miles,01/12/1989,Female,California,hensontroy@yahoo.com,Active,06/07/2024
20,Samantha Mccann,17/10/1987,Female,Utah,monroedavid@morales.biz,Suspended,26/03/2023
21,Adrian Fischer,12/07/2005,Male,Kansas,davidbanks@ramirez-good.com,Suspended,02/08/2024
22,James Miller,28/03/1978,Male,Utah,callahandennis@hotmail.com,Inactive,30/06/2023
23,Christopher York,03/06/1962,Male,Florida,eringrant@mays-browning.com,Inactive,30/09/2024
24,Steven Bowman,20/11/1984,Male,Utah,nicholascarter@hernandez.com,Active,31/08/2023
25,George Oliver,07/05/1962,Male,Alaska,edwardsilva@yahoo.com,Active,25/11/2023
26,Beverly Wilson PhD,29/10/1962,Female,California,melodychandler@yahoo.com,Active,21/12/2023
27,Edwin Rodriguez,15/09/1997,Male,Alaska,zrogers@yahoo.com,Active,07/08/2021
28,Michael Simmons,01/02/1980,Male,Colorado,samanthasims@yahoo.com,Suspended,13/04/2021
29,Angela Brady,15/09/1963,Female,Utah,garciaangela@yahoo.com,Suspended,10/05/2024
30,Richard Klein,29/04/1974,Male,New Mexico,richardsonvanessa@yahoo.com,Suspended,09/07/2025
31,Jessica Howard,21/11/1963,Female,Utah,mgoodwin@crawford.com,Inactive,24/11/2020
32,Dr. Loretta Garcia DDS,25/02/1984,Female,Kansas,hintontonya@elliott.biz,Active,22/12/2024
33,Sylvia Morris,17/06/1993,Female,Colorado,amyvelazquez@gmail.com,Inactive,09/06/2023
34,Nicole Flores,11/06/1981,Female,New Mexico,nancymorrison@kirby.com,Active,17/07/2024
35,Bradley Melton,23/03/1962,Male,Utah,davidturner@rivera-martin.com,Active,17/06/2024
36,Mr. Steven Shaw,05/08/1998,Male,Kansas,burgessrebecca@roberts.biz,Active,23/08/2024
